Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0,-0.28351664772342716,0.201292241673637,-0.38742926784919296,FlutterCoin,0.0
FRK,Scrypt,PoW,1142732.14912776,11235813,-0.16845885001010338,-1.1205869640955,-0.03519705686726211,Franko,3.0
FRAC,X11,PoW,,1000000,,,,,
FSTC,Scrypt,PoW,,165888000,,,,,
FTC,NeoScrypt,PoW,208669093.00773,336000000,-0.1720704483763815,-1.6509038761225279,0.26064712986623245,FeatherCoin,3.0
GDC,Scrypt,PoW,884125802.0,1420609614,-0.1476623283004751,-1.1210635431189333,-0.035622393223374814,GrandCoin,3.0
GLC,Scrypt,PoW,65672720.4708748,70000000,-0.16725295428554623,-1.1205977139245553,-0.035224127739865954,GlobalCoin,3.0
GLD,Scrypt,PoW,41658647.9999715,72245700,-0.1675305693294463,-1.1206068399529197,-0.03521624150444716,GoldCoin,3.0
GLX,Scrypt,PoW/PoS,,538214400,,,,,
GLYPH,X11,PoW/PoS,0.0,7000000,,,,,
GML,Scrypt,PoW/PoS,,500000000,,,,,
GUE,X11,PoW/PoS,,19500000,,,,,
HAL,X15,PoW/PoS,0.0,0,,,,,
HBN,Scrypt,PoW/PoS,89266933.684704,120000000,-0.33402962685598536,1.035414484746963,-0.6265056612753013,HoboNickels,0.0
HUC,Multiple,PoW,0.0,42000000,,,,,
HVC,Multiple,PoW,,128000000,,,,,
HYP,X11,PoS,1678520090.7713,0,-0.33060943174428714,1.0072037530069355,-0.1254887703617324,HyperStake,0.0
ICB,NIST5,PoW/PoS,,8750000,,,,,
IFC,Scrypt,PoW,90595753018.6314,90600000000,1.5819250104055977,-1.1400819537072548,-0.07393615795898524,Infinite Coin,3.0
IOC,X11,PoW/PoS,17650913.9743456,22000000,-0.40048964341190013,1.225400836966047,-0.5215154382025831,IOCoin,0.0
IXC,SHA-256,PoW,21089348.999,21000000,-0.14686692701545848,-1.2894795553735319,0.19433981318433818,IXcoin,3.0
JBS,X11,PoW/PoS,0.0,3293010,,,,,
JKC,Scrypt,PoW,,107000000,,,,,
JUDGE,X13,PoW/PoS,0.0,21600000,,,,,
KDC,Scrypt,PoW,,20000000,,,,,
KEYC,X13,PoW/PoS,,1000000,,,,,
KGC,Scrypt,PoW,151447649.8,265420800,-0.1648174636999843,-1.1206758602455125,-0.03527075456237536,KrugerCoin,3.0
LK7,Scrypt,PoW/PoS,,99792000,,,,,
LKY,Scrypt,PoW,19326319.14375,20000000,-0.16817436774921438,-1.1205857502199636,-0.03520397782397534,LuckyCoin,3.0
LSD,NIST5,PoW/PoS,,900000,,,,,
LTB,Scrypt,PoW,1104344.22938102,1350000,-0.16852948177628463,-1.120581595411678,-0.03519614699602994,Litebar ,3.0
LTCD,Scrypt,PoW,0.0,82003200,,,,,
LTCX,X11,PoW,,84000000,,,,,
LXC,X11,PoW/PoS,0.0,1000000,,,,,
LYC,Scrypt,PoW,,4950000000,,,,,
MAX,SHA3,PoW/PoS,61445805.0,100000000,-0.4193975761607286,2.0963277893938863,-0.37503964948744084,MaxCoin,0.0
MEC,Scrypt,PoW,38151999.9930997,42000000,-0.16778809795585517,-1.1205915298989764,-0.035212315976757454,MegaCoin,3.0
MED,HybridScryptHash256,PoW,40431856.9,200000000,-0.14462839297793265,-2.182910027208898,0.4427400753922138,MediterraneanCoin,3.0
MINRL,X11,PoW/PoS,,1000000,,,,,
MINT,Scrypt,PoS,21293925445.4969,0,-0.025937265157505707,0.8237030602559237,-0.23705411688284828,MintCoin,0.0
MN,SHA-256,PoW,,0,,,,,
MINC,Scrypt,PoW,5804204.88794916,10000000,-0.16841063804294484,-1.1205847571851428,-0.03519851512361948,MinCoin,3.0
MRY,Scrypt,PoW,,58000000,,,,,
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000,-0.2777960638151859,0.8657708507780256,-0.39768339671678327,MazaCoin,0.0
NAN,Scrypt,PoW,,80000000,,,,,
NAUT,Scrypt,PoS,16180000.0,16180000,-0.28592638584693775,0.8166912542170914,-0.22988742562028228,Nautilus Coin,0.0
NAV,X13,PoW/PoS,66087096.2077108,0,-0.2777402575997286,1.816825868256737,-0.6579442620790793,NavCoin,0.0
NBL,Scrypt,PoW,,210000000,,,,,
NMB,X15,PoW/PoS,,25000000,,,,,
NRB,SHA-256,PoW,0.0,50000000,,,,,
NOBL,Scrypt,PoW,2366066305.76482,15000000000,-0.03316985204305985,-1.1279677102082584,-0.03735369401216129,NobleCoin,3.0
NRS,Scrypt,PoW/PoS,,5000000,,,,,
NMC,SHA-256,PoW,14736400.0,21000000,-0.14694458689554335,-1.2894816462760856,0.19434195339935276,Namecoin,3.0
NYAN,Scrypt,PoW,334709223.483138,337000000,-0.16206921443002992,-1.1206545085828508,-0.035338987063537865,NyanCoin,3.0
OPAL,X13,PoW/PoS,15156364.3306548,0,-0.27836284634250485,1.816809105774095,-0.657927104265114,OpalCoin,0.0
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000,-0.3443597884009208,0.5052410052660322,-0.3305225628651881,Orbitcoin,0.0
PHS,Scrypt,PoW,,8891840,,,,,
POT,Scrypt,PoW/PoS,222677226.014206,420000000,-0.3302696017177972,1.0352950888942456,-0.6265778242117289,PotCoin,0.0
PSEUD,X13,PoW/PoS,,2200000,,,,,
PXC,Scrypt,PoW/PoS,73959274.625,98000000,-0.3343728915582658,1.0354214222883702,-0.6264985082922813,PhoenixCoin,0.0
PYC,Scrypt,PoW/PoS,,30000000,,,,,
RDD,Scrypt,PoW/PoS,29315567169.0888,0,0.02238757776974005,1.0450988582984517,-0.6363406840798386,Reddcoin,0.0
RIPO,Scrypt,PoW,0.0,12000000,,,,,
RPC,Scrypt,PoW,1104157.42169891,21000000,-0.16839002226792582,-1.1205922919026936,-0.03519792977579514,RonPaulCoin,3.0
RT2,Scrypt-n,PoW/PoS,,288000,,,,,
RYC,Scrypt,PoW,,140000000,,,,,
RZR,Scrypt,PoW,,4000000,,,,,
SAT2,Scrypt,PoW,,15000000000,,,,,
SBC,Scrypt,PoW,24215181.725,250000000,-0.16648222798296905,-1.1207093411206897,-0.03522649268873203,StableCoin,3.0
SFR,Multiple,PoW,,111000000,,,,,
SHADE,Scrypt,PoW/PoS,,2000000,,,,,
SHLD,X15,PoW/PoS,0.0,1000000,,,,,
SILK,Scrypt,PoW/PoS,0.0,1000000,,,,,
SLG,X13,PoS,,0,,,,,
SMC,Scrypt,PoW,25593737.1355044,51200000,-0.1678763179024645,-1.1206006711114829,-0.0352089199979909,SmartCoin,3.0
SOLE,X15,PoW/PoS,,1200000,,,,,
SPA,Scrypt-n,PoW,0.0,50000000,,,,,
SPOTS,Scrypt,PoW,,100000000,,,,,
SRC,Scrypt,PoW,0.0,21000000,,,,,
SSV,X13,PoW,,21000000,,,,,
SUPER,X11,PoS,50707661.7493518,0,-0.35050817767447673,1.0066680022611472,-0.12494038431271035,SuperCoin,0.0
SYNC,X11,PoW/PoS,1177.0,1000,-0.4008615311050614,1.2254070031310587,-0.5215074962987145,SyncCoin,0.0
SYS,SHA-256,PoW,563336541.299966,888000000,-0.13408502280467868,-1.289773038605931,0.1940784752556118,SysCoin,3.0
